State,Field,Money,,,,,,,,,,,,,,,,,,,,,,
Victoria,Indigenous Studies,36342,,,,,,,,,,,,,,,,,,,,,,
Queensland,Indigenous Studies,33733,,,,,,,,,,,,,,,,,,,,,,
South Australia,Indigenous Studies,31042,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Indigenous Studies,39219,,,,,,,,,,,,,,,,,,,,,,
Tasmania,Indigenous Studies,2430,,,,,,,,,,,,,,,,,,,,,,
Northern Territory,Indigenous Studies,5339,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,Indigenous Studies,35808,,,,,,,,,,,,,,,,,,,,,,
New South Wales,Information and Computing Sciences,193224,,,,,,,,,,,,,,,,,,,,,,
Victoria,Information and Computing Sciences,217583,,,,,,,,,,,,,,,,,,,,,,
Queensland,Information and Computing Sciences,70654,,,,,,,,,,,,,,,,,,,,,,
South Australia,Information and Computing Sciences,31653,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Information and Computing Sciences,27375,,,,,,,,,,,,,,,,,,,,,,
Tasmania,Information and Computing Sciences,3649,,,,,,,,,,,,,,,,,,,,,,
Northern Territory,Information and Computing Sciences,2761,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,Information and Computing Sciences,83727,,,,,,,,,,,,,,,,,,,,,,
New South Wales,"Language, Communication and Culture",67904,,,,,,,,,,,,,,,,,,,,,,
Victoria,"Language, Communication and Culture",63383,,,,,,,,,,,,,,,,,,,,,,
Queensland,"Language, Communication and Culture",35115,,,,,,,,,,,,,,,,,,,,,,
South Australia,"Language, Communication and Culture",6988,,,,,,,,,,,,,,,,,,,,,,
Western Australia,"Language, Communication and Culture",10467,,,,,,,,,,,,,,,,,,,,,,
Tasmania,"Language, Communication and Culture",3501,,,,,,,,,,,,,,,,,,,,,,
Northern Territory,"Language, Communication and Culture",498,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,"Language, Communication and Culture",23156,,,,,,,,,,,,,,,,,,,,,,
New South Wales,Law and Legal Studies,77231,,,,,,,,,,,,,,,,,,,,,,
Victoria,Law and Legal Studies,42517,,,,,,,,,,,,,,,,,,,,,,
Queensland,Law and Legal Studies,28444,,,,,,,,,,,,,,,,,,,,,,
South Australia,Law and Legal Studies,6499,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Law and Legal Studies,2901,,,,,,,,,,,,,,,,,,,,,,
Tasmania,Law and Legal Studies,3360,,,,,,,,,,,,,,,,,,,,,,
Northern Territory,Law and Legal Studies,2185,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,Law and Legal Studies,24030,,,,,,,,,,,,,,,,,,,,,,
New South Wales,Mathematical Sciences,54595,,,,,,,,,,,,,,,,,,,,,,
Victoria,Mathematical Sciences,57199,,,,,,,,,,,,,,,,,,,,,,
Queensland,Mathematical Sciences,28536,,,,,,,,,,,,,,,,,,,,,,
South Australia,Mathematical Sciences,8142,,,,,,,,,,,,,,,,,,,,,,
